,Index,LVL1,LVL2,LVL3,LVL4,LVL5,LVL6,NodeID,NodeType,CategoryID,FieldID,InstanceID,RelatedFieldID,NodeName
0,0,1,0,0,0,0,0,1.0.0.0.0.0.0.0,root,1.0,,,,Population characteristics
1,1,2,0,0,0,0,0,2.0.0.0.0.0.0.0,root,100000.0,,,,UK Biobank Assessment Centre
2,2,3,0,0,0,0,0,3.0.0.0.0.0.0.0,root,100078.0,,,,Biological samples
3,3,4,0,0,0,0,0,4.0.0.0.0.0.0.0,root,100314.0,,,,Genomics
4,4,5,0,0,0,0,0,5.0.0.0.0.0.0.0,root,100089.0,,,,Online follow-up
5,5,6,0,0,0,0,0,6.0.0.0.0.0.0.0,root,100088.0,,,,Additional exposures
6,6,7,0,0,0,0,0,7.0.0.0.0.0.0.0,root,100091.0,,,,Health-related outcomes
7,7,1,1,0,0,0,0,1.1.0.0.0.0.0.0,sub,100094.0,,,,Baseline characteristics
8,8,1,2,0,0,0,0,1.2.0.0.0.0.0.0,sub,2.0,,,,Ongoing characteristics
9,9,2,1,0,0,0,0,2.1.0.0.0.0.0.0,sub,100021.0,,,,Recruitment
10,10,2,2,0,0,0,0,2.2.0.0.0.0.0.0,sub,100025.0,,,,Touchscreen
11,11,2,3,0,0,0,0,2.3.0.0.0.0.0.0,sub,100071.0,,,,Verbal interview
12,12,2,4,0,0,0,0,2.4.0.0.0.0.0.0,sub,100006.0,,,,Physical measures
13,13,2,5,0,0,0,0,2.5.0.0.0.0.0.0,sub,100026.0,,,,Cognitive function
14,14,2,6,0,0,0,0,2.6.0.0.0.0.0.0,sub,100003.0,,,,Imaging
15,15,2,7,0,0,0,0,2.7.0.0.0.0.0.0,sub,100001.0,,,,Biological sampling
16,16,2,8,0,0,0,0,2.8.0.0.0.0.0.0,sub,100004.0,,,,Procedural metrics
17,17,3,1,0,0,0,0,3.1.0.0.0.0.0.0,sub,100079.0,,,,Assay results
18,18,3,2,0,0,0,0,3.2.0.0.0.0.0.0,sub,100084.0,,,,Sample inventory
19,19,7,1,0,0,0,0,7.1.0.0.0.0.0.0,sub,3000.0,,,,Primary care
20,20,7,2,0,0,0,0,7.2.0.0.0.0.0.0,sub,2000.0,,,,Hospital inpatient
21,21,7,3,0,0,0,0,7.3.0.0.0.0.0.0,sub,100093.0,,,,Death register
22,22,7,4,0,0,0,0,7.4.0.0.0.0.0.0,sub,100092.0,,,,Cancer register
23,23,5,1,0,0,0,0,5.1.0.0.0.0.0.0,sub,100090.0,,,,Diet by 24-hour recall
24,24,5,2,0,0,0,0,5.2.0.0.0.0.0.0,sub,116.0,,,,Cognitive function online
25,25,5,3,0,0,0,0,5.3.0.0.0.0.0.0,sub,123.0,,,,Work environment
26,26,5,4,0,0,0,0,5.4.0.0.0.0.0.0,sub,136.0,,,,Mental health
27,27,7,5,0,0,0,0,7.5.0.0.0.0.0.0,sub,42.0,,,,Algorithmically-defined outcomes
28,28,7,6,0,0,0,0,7.6.0.0.0.0.0.0,sub,1712.0,,,,First occurrences
29,29,5,5,0,0,0,0,5.5.0.0.0.0.0.0,sub,153.0,,,,Digestive health
30,30,5,6,0,0,0,0,5.6.0.0.0.0.0.0,sub,154.0,,,,Experience of pain
31,31,6,1,0,0,0,0,6.1.0.0.0.0.0.0,sub,113.0,,,,Local environment
32,32,6,2,0,0,0,0,6.2.0.0.0.0.0.0,sub,1008.0,,,,Physical activity measurement
33,33,6,3,0,0,0,0,6.3.0.0.0.0.0.0,sub,347.0,,,,Cardiac monitoring
34,34,4,1,0,0,0,0,4.1.0.0.0.0.0.0,sub,263.0,,,,Genotypes
35,35,4,2,0,0,0,0,4.2.0.0.0.0.0.0,sub,170.0,,,,Exome sequences
36,36,4,3,0,0,0,0,4.3.0.0.0.0.0.0,sub,180.0,,,,Whole genome sequences
37,37,2,5,1,0,0,0,2.5.1.0.0.0.0.0,sub,100032.0,,,,Reaction time
38,38,2,5,2,0,0,0,2.5.2.0.0.0.0.0,sub,100029.0,,,,Numeric memory
39,39,2,5,3,0,0,0,2.5.3.0.0.0.0.0,sub,100027.0,,,,Fluid intelligence / reasoning
40,40,2,5,4,0,0,0,2.5.4.0.0.0.0.0,sub,505.0,,,,Trail making
41,41,2,5,5,0,0,0,2.5.5.0.0.0.0.0,sub,501.0,,,,Matrix pattern completion
42,42,2,5,6,0,0,0,2.5.6.0.0.0.0.0,sub,503.0,,,,Tower rearranging
43,43,2,5,7,0,0,0,2.5.7.0.0.0.0.0,sub,504.0,,,,Picture vocabulary
44,44,2,5,8,0,0,0,2.5.8.0.0.0.0.0,sub,502.0,,,,Symbol digit substitution
45,45,2,5,9,0,0,0,2.5.9.0.0.0.0.0,sub,506.0,,,,Paired associate learning
46,46,2,5,10,0,0,0,2.5.10.0.0.0.0.0,sub,100031.0,,,,Prospective memory
47,47,2,5,11,0,0,0,2.5.11.0.0.0.0.0,sub,100030.0,,,,Pairs matching
48,48,2,7,1,0,0,0,2.7.1.0.0.0.0.0,sub,100002.0,,,,Blood sample collection
49,49,2,7,2,0,0,0,2.7.2.0.0.0.0.0,sub,100096.0,,,,Saliva sample collection
50,50,2,7,3,0,0,0,2.7.3.0.0.0.0.0,sub,100095.0,,,,Urine sample collection
51,51,2,6,1,0,0,0,2.6.1.0.0.0.0.0,sub,105.0,,,,Abdominal MRI
