field_id,availability,stability,private,value_type,base_type,item_type,instanced,arrayed,sexed,units,main_category,encoding_id,instance_id,instance_min,instance_max,array_min,array_max,debut,version,num_participants,item_count
3,0,0,0,11,0,0,1,0,0,seconds,152,0,2,0,3,0,0,2012-01-05,2020-03-19,501642,568181
4,0,0,0,11,0,0,1,0,0,seconds,152,0,2,0,3,0,0,2012-01-05,2020-03-19,497963,568069
5,0,0,0,11,0,0,1,0,0,seconds,152,0,2,0,3,0,0,2012-01-05,2020-03-19,501313,573043
6,0,0,0,11,0,0,1,0,0,seconds,152,0,2,0,3,0,0,2012-01-05,2020-03-19,499017,570628
19,0,0,0,21,11,0,1,0,0,,100018,100260,2,0,0,0,0,2012-01-05,2012-01-06,324768,324768
21,0,0,0,21,11,0,1,0,0,,100010,100261,2,0,3,0,0,2012-01-05,2020-03-19,500827,571816
23,0,0,0,21,11,0,1,0,0,,100020,100270,2,0,3,0,0,2012-01-05,2020-03-19,460187,521359
31,0,0,0,21,11,0,0,0,0,,100094,9,0,0,0,0,0,2012-01-05,2019-07-18,502492,502492
33,0,0,1,51,0,0,0,0,0,,100094,0,0,0,0,0,0,2012-01-05,2012-01-06,502492,502492
34,0,0,0,11,0,0,0,0,0,years,100094,0,0,0,0,0,0,2012-01-05,2012-01-06,502492,502492
35,0,0,0,21,11,0,1,0,0,,100002,7,2,0,3,0,0,2012-01-05,2020-03-19,501313,573043
36,0,0,0,41,0,0,1,0,0,,100011,0,2,0,3,0,0,2012-01-05,2020-03-19,498741,564412
37,0,0,0,41,0,0,1,0,0,,100011,0,2,0,3,0,0,2012-01-05,2020-03-19,498741,564412
38,0,0,0,41,0,0,1,0,0,,100019,0,2,0,3,0,0,2012-01-05,2020-03-19,497964,568070
39,0,0,0,41,0,0,1,0,0,,100010,0,2,0,3,0,0,2012-01-05,2020-03-19,497964,568070
40,0,0,0,41,0,0,1,0,0,,100010,0,2,0,3,0,0,2012-01-05,2020-03-19,497964,568070
41,0,0,0,41,0,0,1,0,0,,100010,0,2,0,3,0,0,2012-01-05,2020-03-19,497964,568070
42,0,0,0,41,0,0,1,0,0,,100020,0,2,0,3,0,0,2012-01-05,2020-03-19,497964,568070
43,0,0,0,41,0,0,1,0,0,,100009,0,2,0,3,0,0,2012-01-05,2020-03-19,497964,568070
44,0,0,0,41,0,0,1,0,0,,100010,0,2,0,3,0,0,2012-01-05,2020-03-19,497964,568070
45,0,0,0,41,0,0,1,0,0,,100018,0,2,0,3,0,0,2012-01-05,2020-03-19,497964,568070
